"","Sr. No.","Month","EMP ID","EMP Email","F_Name","L_Name","Full Name","Studio","Country","Date of Hire","Job Title","Org","Client","Manager Email","Manager EMP ID","Manager Name","Type of movement","Date of Exit","Reason for Leaving","Attrition Type","Employment type","Work Authorisation"
"21",21,2019-04-01,100021,"jennifer.clarkson@softvision.com","Jennifer","Clarkson","Clarkson, Jennifer","Laguna Niguel","USA",2015-08-24,"Associate, Application Development","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43561","Disciplinary Action","Involuntary","Full time employee","Citizen"
"22",22,2019-05-01,100022,"gordon.hunter@softvision.com","Gordon","Hunter","Hunter, Gordon","Lakeland","USA",2017-04-12,"AWS Architect","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43604","Better opportunity","Voluntary","Full time employee","Permanent Resident"
"23",23,2019-03-01,100023,"colin.sutherland@softvision.com","Colin","Sutherland","Sutherland, Colin","Las Vegas","USA",2018-12-05,"Backend Engineer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43540","Better compensation","Voluntary","Full time employee","Permanent Resident"
"24",24,2019-04-01,100024,"julian.gill@softvision.com","Julian","Gill","Gill, Julian","Lawrenceville","USA",2015-04-17,"Blockchain Developer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43559","Better opportunity","Voluntary","Full time employee","Permanent Resident"
"25",25,2019-01-01,100025,"heather.forsyth@softvision.com","Heather","Forsyth","Forsyth, Heather","Lewis Center","USA",2018-08-18,"Business Analyst","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43472","Better compensation","Voluntary","Full time employee","Permanent Resident"
"26",26,2019-04-01,100026,"caroline.mackay@softvision.com","Caroline","Mackay","Mackay, Caroline","Lexington","USA",2019-04-03,"Business Developemnt","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"27",27,2019-03-01,100027,"blake.lewis@softvision.com","Blake","Lewis","Lewis, Blake","Lorain","USA",2019-03-05,"C++ Developer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Work Permit"
"28",28,2019-07-01,100028,"luke.mackay@softvision.com","Luke","Mackay","Mackay, Luke","Loveland","USA",2019-07-10,"Chief Architect, Application Development","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Work Permit"
"29",29,2019-03-01,100029,"una.dyer@softvision.com","Una","Dyer","Dyer, Una","Madison","USA",2019-03-11,"Chief Financial Officer","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Full time employee","Work Permit"
"30",30,2019-06-01,100030,"donna.ball@softvision.com","Donna","Ball","Ball, Donna","Marietta","USA",2019-06-19,"Chief Partnership Officer","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Full time employee","Work Permit"
"31",31,2019-09-01,100031,"alexander.ogden@softvision.com","Alexander","Ogden","Ogden, Alexander","BUENOS AIRES","Argentina",2019-09-25,"Chief Technical Officer","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Full time employee","Citizen"
"32",32,2019-05-01,100032,"bella.thomson@softvision.com","Bella","Thomson","Thomson, Bella","Sao Paulo","Brazil",2019-05-21,"Client Associate","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Entry","-","-","-","Full time employee","Citizen"
"33",33,2019-01-01,100033,"donna.hunter@softvision.com","Donna","Hunter","Hunter, Donna","Toronto","Canada",2019-01-17,"Client Partner","DeliveryOps","DelOpsC","peter.davies@softvision.com",109007,"Davies, Peter","Entry","-","-","-","Full time employee","Citizen"
"34",34,2019-05-01,100034,"audrey.slater@softvision.com","Audrey","Slater","Slater, Audrey","Vancouver","Canada",2019-05-12,"CM Cloud & Dev Ops","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"35",35,2019-06-01,100035,"wanda.watson@softvision.com","Wanda","Watson","Watson, Wanda","BUENOS AIRES","Argentina",2019-06-06,"COMMUNICATION ANALYST","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"36",36,2019-04-01,100036,"jacob.carr@softvision.com","Jacob","Carr","Carr, Jacob","BUENOS AIRES","Argentina",2019-04-07,"COMMUNICATION MANAGER","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"37",37,2019-04-01,100037,"olivia.powell@softvision.com","Olivia","Powell","Powell, Olivia","BUENOS AIRES","Argentina",2019-04-09,"COMMUNICATIONS ANALYST","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"38",38,2019-01-01,100038,"joan.nash@softvision.com","Joan","Nash","Nash, Joan","BUENOS AIRES","Argentina",2019-01-13,"CM Cloud & Dev Ops","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"39",39,2019-02-01,100039,"phil.ogden@softvision.com","Phil","Ogden","Ogden, Phil","BUENOS AIRES","Argentina",2019-02-21,"CM Cloud & Dev Ops","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"40",40,2019-02-01,100040,"katherine.butler@softvision.com","Katherine","Butler","Butler, Katherine","Alpharetta","USA",2019-02-21,"CM Cloud & Dev Ops","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Citizen"
"41",1,2019-04-01,200001,"harry.bower@softvision.com","Harry","Bower","Bower, Harry","Mysore","India",2019-04-15,"Human Resources Director","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Full time employee","Citizen"
"42",2,2019-04-01,200002,"max.clarkson@softvision.com","Max","Clarkson","Clarkson, Max","Mysore","India",2019-04-17,"Immigration Paralegal","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"43",3,2019-01-01,200003,"dorothy.baker@softvision.com","Dorothy","Baker","Baker, Dorothy","Mysore","India",2019-01-09,"Intern","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"44",4,2019-08-01,200004,"claire.bell@softvision.com","Claire","Bell","Bell, Claire","Mysore","India",2019-08-26,"iOS Developer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"45",5,2019-06-01,200005,"liam.hodges@softvision.com","Liam","Hodges","Hodges, Liam","Mysore","India",2019-06-22,"IT Helpdesk Engineer","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"46",6,2019-06-01,200006,"stephen.cornish@softvision.com","Stephen","Cornish","Cornish, Stephen","Mysore","India",2019-06-19,"IT Operations Coordinator","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"47",7,2019-05-01,200007,"victor.wallace@softvision.com","Victor","Wallace","Wallace, Victor","Mysore","India",2019-05-06,"IT SUPPORT SPECIALIST*","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"48",8,2019-01-01,200008,"michael.graham@softvision.com","Michael","Graham","Graham, Michael","Mysore","India",2019-01-02,"Java Developer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"49",9,2019-05-01,200009,"stephen.clarkson@softvision.com","Stephen","Clarkson","Clarkson, Stephen","Mysore","India",2019-05-03,"Java Engineer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"50",10,2019-08-01,200010,"emily.mackenzie@softvision.com","Emily","Mackenzie","Mackenzie, Emily","Mysore","India",2019-08-24,"Jr. Front End Developer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"51",11,2019-08-01,200011,"benjamin.roberts@softvision.com","Benjamin","Roberts","Roberts, Benjamin","Mysore","India",2019-08-05,"Junior  Application Developer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"52",12,2019-02-01,200012,"leah.blake@softvision.com","Leah","Blake","Blake, Leah","Mysore","India",2019-02-20,"Junior Application Support Analyst","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"53",13,2019-07-01,200013,"sally.langdon@softvision.com","Sally","Langdon","Langdon, Sally","Mysore","India",2019-07-10,"Junior Quality Analyst","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"54",14,2019-08-01,200014,"rachel.grant@softvision.com","Rachel","Grant","Grant, Rachel","Mysore","India",2019-08-10,"Lead .NET Architect","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"55",15,2019-08-01,200015,"benjamin.hudson@softvision.com","Benjamin","Hudson","Hudson, Benjamin","Mysore","India",2019-08-04,"Lead UX Designer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"56",16,2019-02-01,200016,"paul.ball@softvision.com","Paul","Ball","Ball, Paul","Mysore","India",2015-01-01,"Mainframe Developer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43499","Disciplinary Action","Involuntary","Full time employee","Citizen"
"57",17,2019-07-01,200017,"michelle.glover@softvision.com","Michelle","Glover","Glover, Michelle","Mysore","India",2017-11-25,"Manager","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43658","Personal reasons","Voluntary","Full time employee","Citizen"
"58",18,2019-07-01,200018,"anne.grant@softvision.com","Anne","Grant","Grant, Anne","Mysore","India",2013-05-01,"Manager, Application Development","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Exit","43651","Project end","Involuntary","Full time employee","Citizen"
"59",19,2019-05-01,200019,"dylan.white@softvision.com","Dylan","White","White, Dylan","Mysore","India",2015-11-19,"National Account Manager","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Exit","43606","Project end","Involuntary","Full time employee","Citizen"
"60",20,2019-02-01,200020,"dan.bower@softvision.com","Dan","Bower","Bower, Dan","Mysore","India",2018-11-18,"Platforms","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43517","Better compensation","Voluntary","Full time employee","Citizen"
"61",21,2019-03-01,200021,"penelope.hodges@softvision.com","Penelope","Hodges","Hodges, Penelope","Mysore","India",2017-04-12,"President SPI Mobility Division","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Exit","43538","Better opportunity","Voluntary","Full time employee","Citizen"
"62",22,2019-03-01,200022,"lucas.lewis@softvision.com","Lucas","Lewis","Lewis, Lucas","Mysore","India",2015-05-17,"President, Digital","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Exit","43550","Better opportunity","Voluntary","Full time employee","Citizen"
"63",23,2019-04-01,200023,"colin.hardacre@softvision.com","Colin","Hardacre","Hardacre, Colin","Mysore","India",2012-07-25,"Product Owner","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Exit","43572","Project end","Involuntary","Full time employee","Citizen"
"64",24,2019-01-01,200024,"edward.arnold@softvision.com","Edward","Arnold","Arnold, Edward","Mysore","India",2015-01-17,"Programmer Analyst","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43484","Better compensation","Voluntary","Full time employee","Citizen"
"65",25,2019-04-01,200025,"julian.abraham@softvision.com","Julian","Abraham","Abraham, Julian","Mysore","India",2017-07-24,"Project Lead","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43559","Better compensation","Voluntary","Full time employee","Citizen"
"66",26,2019-03-01,200026,"lillian.simpson@softvision.com","Lillian","Simpson","Simpson, Lillian","Mysore","India",2012-05-23,"Project Manager","DeliveryOps","DelOpsC","peter.davies@softvision.com",109007,"Davies, Peter","Exit","43547","Better compensation","Voluntary","Full time employee","Citizen"
"67",27,2019-01-01,200027,"claire.hart@softvision.com","Claire","Hart","Hart, Claire","Mysore","India",2015-04-08,"Human Resources Director","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Exit","43482","Better opportunity","Voluntary","Full time employee","Citizen"
"68",28,2019-01-01,200028,"joanne.martin@softvision.com","Joanne","Martin","Martin, Joanne","Mysore","India",2012-10-16,"Immigration Paralegal","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43486","Personal reasons","Voluntary","Full time employee","Citizen"
"69",29,2019-01-01,200029,"melanie.carr@softvision.com","Melanie","Carr","Carr, Melanie","Mysore","India",2015-01-25,"Intern","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43486","Personal reasons","Voluntary","Full time employee","Citizen"
"70",30,2019-04-01,200030,"boris.hill@softvision.com","Boris","Hill","Hill, Boris","Mysore","India",2014-12-09,"iOS Developer","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43571","Better compensation","Voluntary","Full time employee","Citizen"
"71",31,2019-07-01,200031,"ava.parsons@softvision.com","Ava","Parsons","Parsons, Ava","Melbourne","Australia",2014-06-19,"IT Helpdesk Engineer","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43667","Personal reasons","Voluntary","Full time employee",NA
"72",32,2019-07-01,200032,"gavin.hill@softvision.com","Gavin","Hill","Hill, Gavin","Brisbane","Australia",2018-11-15,"IT Operations Coordinator","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43657","Personal reasons","Voluntary","Full time employee",NA
"73",33,2019-08-01,200033,"luke.roberts@softvision.com","Luke","Roberts","Roberts, Luke","Melbourne","Australia",2013-01-27,"IT SUPPORT SPECIALIST*","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43693","Personal reasons","Voluntary","Full time employee",NA
"74",34,2019-02-01,200034,"hannah.johnston@softvision.com","Hannah","Johnston","Johnston, Hannah","Melbourne","Australia",2018-01-27,"Java Developer","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43505","Better opportunity","Voluntary","Full time employee",NA
"75",35,2019-06-01,200035,"james.smith@softvision.com","James","Smith","Smith, James","Melbourne","Australia",2017-12-21,"Java Engineer","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43634","Better opportunity","Voluntary","Full time employee",NA
"76",36,2019-02-01,200036,"alan.oliver@softvision.com","Alan","Oliver","Oliver, Alan","Melbourne","Australia",2019-02-11,"Jr. Front End Developer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Work Permit"
"77",37,2019-01-01,200037,"adam.mackay@softvision.com","Adam","Mackay","Mackay, Adam","Melbourne","Australia",2019-01-07,"Junior  Application Developer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Work Permit"
"78",38,2019-08-01,200038,"sally.ferguson@softvision.com","Sally","Ferguson","Ferguson, Sally","Melbourne","Australia",2019-08-09,"Junior Application Support Analyst","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Work Permit"
"79",39,2019-01-01,200039,"keith.hodges@softvision.com","Keith","Hodges","Hodges, Keith","Melbourne","Australia",2019-01-09,"Junior Quality Analyst","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Work Permit"
"80",40,2019-07-01,200040,"diane.reid@softvision.com","Diane","Reid","Reid, Diane","Melbourne","Australia",2019-07-10,"Lead .NET Architect","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Work Permit"
"81",41,2019-06-01,200041,"una.king@softvision.com","Una","King","King, Una","Melbourne","Australia",2019-06-13,"Lead UX Designer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Work Permit"
"82",42,2019-05-01,200042,"ryan.reid@softvision.com","Ryan","Reid","Reid, Ryan","Melbourne","Australia",2019-05-12,"Mainframe Developer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Contractor","Work Permit"
"83",43,2019-05-01,200043,"eric.forsyth@softvision.com","Eric","Forsyth","Forsyth, Eric","Brisbane","Australia",2019-05-27,"Manager","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Contractor","Work Permit"
"84",44,2019-08-01,200044,"lucas.avery@softvision.com","Lucas","Avery","Avery, Lucas","Brisbane","Australia",2019-08-06,"Manager, Application Development","DeliveryOps","DelOpsA","stephen.ogden@softvision.com",109005,"Ogden, Stephen","Entry","-","-","-","Contractor","Work Permit"
"85",45,2019-08-01,200045,"megan.gray@softvision.com","Megan","Gray","Gray, Megan","Brisbane","Australia",2019-08-13,"National Account Manager","DeliveryOps","DelOpsA","stephen.ogden@softvision.com",109005,"Ogden, Stephen","Entry","-","-","-","Contractor","Work Permit"
"86",46,2019-04-01,200046,"madeleine.ogden@softvision.com","Madeleine","Ogden","Ogden, Madeleine","Ahmedabad","India",2019-04-22,"Platforms","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Contractor","Citizen"
"87",47,2019-01-01,200047,"paul.scott@softvision.com","Paul","Scott","Scott, Paul","Ahmedabad","India",2019-01-18,"President SPI Mobility Division","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Contractor","Citizen"
"88",48,2019-06-01,200048,"andrew.bell@softvision.com","Andrew","Bell","Bell, Andrew","Ahmedabad","India",2019-06-15,"President, Digital","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Contractor","Citizen"
"89",49,2019-06-01,200049,"michelle.randall@softvision.com","Michelle","Randall","Randall, Michelle","Ahmedabad","India",2019-06-25,"Product Owner","DeliveryOps","DelOpsB","dominic.lee@softvision.com",109006,"Lee, Dominic","Entry","-","-","-","Contractor","Citizen"
"90",50,2019-01-01,200050,"felicity.metcalfe@softvision.com","Felicity","Metcalfe","Metcalfe, Felicity","Ahmedabad","India",2019-01-12,"Programmer Analyst","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Contractor","Citizen"
"91",1,2019-07-01,300001,"david.may@softvision.com","David","May","May, David","Cluj-Napoca","Romania",2019-07-11,"President, Digital","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Full time employee","Citizen"
"92",2,2019-03-01,300002,"julian.black@softvision.com","Julian","Black","Black, Julian","Cluj-Napoca","Romania",2019-03-24,"Product Owner","DeliveryOps","DelOpsC","peter.davies@softvision.com",109007,"Davies, Peter","Entry","-","-","-","Full time employee","Citizen"
"93",3,2019-06-01,300003,"michael.arnold@softvision.com","Michael","Arnold","Arnold, Michael","Cluj-Napoca","Romania",2019-06-12,"Programmer Analyst","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"94",4,2019-09-01,300004,"grace.scott@softvision.com","Grace","Scott","Scott, Grace","Cluj-Napoca","Romania",2019-09-22,"Project Lead","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"95",5,2019-08-01,300005,"samantha.langdon@softvision.com","Samantha","Langdon","Langdon, Samantha","Cluj-Napoca","Romania",2019-08-27,"Project Manager","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Entry","-","-","-","Full time employee","Citizen"
"96",6,2019-01-01,300006,"boris.newman@softvision.com","Boris","Newman","Newman, Boris","Cluj-Napoca","Romania",2019-01-20,"Python Developer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"97",7,2019-03-01,300007,"amy.scott@softvision.com","Amy","Scott","Scott, Amy","Cluj-Napoca","Romania",2019-03-04,"QA","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"98",8,2019-03-01,300008,"alan.wilson@softvision.com","Alan","Wilson","Wilson, Alan","Cluj-Napoca","Romania",2019-03-06,"QA Associate","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"99",9,2019-02-01,300009,"julia.macdonald@softvision.com","Julia","MacDonald","Macdonald, Julia","Cluj-Napoca","Romania",2019-02-01,"QA Automation Engineer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"100",10,2019-01-01,300010,"anna.macleod@softvision.com","Anna","MacLeod","Macleod, Anna","Cluj-Napoca","Romania",2015-12-27,"QA Engineer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43487","Better compensation","Voluntary","Full time employee","Citizen"
"101",11,2019-01-01,300011,"megan.hamilton@softvision.com","Megan","Hamilton","Hamilton, Megan","Cluj-Napoca","Romania",2015-09-04,"Quality Analyst","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Exit","43481","Better opportunity","Voluntary","Full time employee","Citizen"
